band,split,transactions,per_day,frauds,fraud_rate_in_band,fraud_usd,share_of_all_fraud
Auto-hold,validation,1843,13.164285714285715,1751,0.9500813890396094,946415.9299999999,0.9181961195595175
Priority review,validation,455,3.25,88,0.1934065934065934,29862.649999999998,0.04614577871001573
Standard review,validation,671,4.792857142857143,32,0.04769001490312966,9719.89,0.016780283167278448
Monitor only,validation,11028,78.77142857142857,33,0.0029923830250272033,4960.27,0.0173046670162559
No action,validation,357008,2550.057142857143,3,8.4031730381392e-06,33.53,0.0015731515469323545
Auto-hold,test,1302,10.093023255813954,1232,0.946236559139785,693965.86,0.9072164948453608
Priority review,test,387,3.0,73,0.18863049095607234,26590.090000000004,0.05375552282768778
Standard review,test,543,4.209302325581396,18,0.03314917127071823,7088.12,0.013254786450662739
Monitor only,test,9189,71.23255813953489,27,0.002938295788442703,10181.219999999998,0.019882179675994108
No action,test,359278,2785.1007751937987,8,2.2266879686482332e-05,229.76999999999998,0.005891016200294551
