feature,label,pr_auc_drop,pr_auc_drop_std,gain_share
log_amt,Transaction amount (log),0.7203910719001817,0.002683395310421395,0.2155919618481055
category,Merchant category,0.5934872172396418,0.008602210953046136,0.0956907848662648
amt_sum_prior_24h,Card spend in prior 24h ($),0.14723065232003463,0.00715160232257491,0.2956844394854765
is_night,Night-time (22:00-04:00),0.035729129232212754,0.0012712001235511195,0.17665960520477675
amt_to_cust_avg,Amount / customer's historical average,0.015479486091984499,0.0012043274239849034,0.10584829592595106
hour,Hour of day,0.012285411749151653,0.0014779945030614337,0.00589578356508574
hours_since_last_txn,Hours since card's previous transaction,0.01094889347708731,0.0008501426364797683,0.0036749715341604498
n_txn_prior_24h,Card transactions in prior 24h,0.010504579322790438,0.0006852505510488164,0.013001717141386936
amt_to_cust_category_avg,Amount / customer's average in this category,0.008627836789596999,0.0013805756781979958,0.008452580784281736
amt_to_cust_avg_7d,Amount / customer's 7-day average,0.006767011076063589,0.0003846650713525696,0.002994385538621782
amt_zscore_cust,Amount z-score vs customer history,0.00446049872121194,0.00029601717593173693,0.017877654565745707
log_city_pop,Customer city population (log),0.00399429645606549,0.0008489775772878197,0.0008555128105435568
amt_sum_prior_1h,Card spend in prior 1h ($),0.003188438828877538,0.0005532924593423159,0.010344299919438131
n_txn_prior_7d,Card transactions in prior 7d,0.0029451124485084432,0.0006628505536255383,0.01395773860075123
cust_n_prior_txn,Card history length (txns),0.001248519321324526,0.0011080735921677372,0.010267936210013453
day_of_week,Day of week,0.0010015133106064205,0.0002598127456783594,0.009072072867129116
n_txn_prior_1h,Card transactions in prior 1h,0.0005605145269062713,0.00011429783020642519,0.005503284954546062
is_first_merchant_for_cust,First time at this merchant,0.0001100323803803575,0.00010061438774667955,0.007380300283944631
dist_home_merchant_km,Distance home to merchant (km),0.00010322793683211391,0.00015813103307406619,0.00039588020128723995
is_first_category_for_cust,First time in this category,1.1950954331374497e-05,5.694832587316119e-06,0.0008507936924896414
