segment,segment_type,transactions,frauds,alerts,TP,FP,recall,precision,false_alert_rate_per_10k_legit
entertainment,category,26794,33,84,33,51,1.0,0.39285714285714285,19.05758379731699
food_dining,category,25896,30,122,28,94,0.9333333333333333,0.22950819672131148,36.3411428129591
gas_transport,category,37603,103,117,103,14,1.0,0.8803418803418803,3.7333333333333334
grocery_net,category,13135,25,76,24,52,0.96,0.3157894736842105,39.66437833714721
grocery_pos,category,35213,314,320,314,6,1.0,0.98125,1.7192469698272157
health_fitness,category,24413,23,60,21,39,0.9130434782608695,0.35,15.990159901599016
home,category,34978,36,84,35,49,0.9722222222222222,0.4166666666666667,14.023238509530078
kids_pets,category,32364,36,90,32,58,0.8888888888888888,0.35555555555555557,17.941103687206137
misc_net,category,18365,181,267,178,89,0.9834254143646409,0.6666666666666666,48.94412670479542
misc_pos,category,23051,41,136,38,98,0.926829268292683,0.27941176470588236,42.59017818339852
personal_care,category,26175,42,121,34,87,0.8095238095238095,0.2809917355371901,33.291240959706116
shopping_net,category,27734,342,473,340,133,0.9941520467836257,0.718816067653277,48.55432242990654
shopping_pos,category,33346,128,235,123,112,0.9609375,0.5234042553191489,33.71665964236257
travel,category,11632,24,47,20,27,0.8333333333333334,0.425531914893617,23.259820813232253
<$10,amount_band,96210,90,180,84,96,0.9333333333333333,0.4666666666666667,9.987515605493133
$10-49,amount_band,96476,187,390,174,216,0.93048128342246,0.4461538461538462,22.432468921683682
$50-99,amount_band,111195,9,23,6,17,0.6666666666666666,0.2608695652173913,1.5289694745741371
$100-249,amount_band,56475,48,187,46,141,0.9583333333333334,0.24598930481283424,24.988037641554573
$250-499,amount_band,6317,349,433,348,85,0.997134670487106,0.8036951501154734,142.42627345844505
$500-999,amount_band,2971,493,757,488,269,0.9898580121703854,0.6446499339498019,1085.5528652138821
"$1,000+",amount_band,1055,182,262,177,85,0.9725274725274725,0.6755725190839694,973.6540664375716
<25,age_band,29977,118,183,118,65,1.0,0.644808743169399,21.76898087678757
25-34,age_band,75639,237,400,227,173,0.9578059071729957,0.5675,22.943688496326356
35-49,age_band,127678,362,599,349,250,0.9640883977900553,0.5826377295492488,19.636180841371075
50-64,age_band,76511,370,590,367,223,0.9918918918918919,0.6220338983050847,29.28776874482867
65+,age_band,60894,271,460,262,198,0.966789667896679,0.5695652173913044,32.66087128647543
Midwest,region,104733,376,652,369,283,0.9813829787234043,0.5659509202453987,27.118449169677167
Northeast,region,69879,305,459,299,160,0.980327868852459,0.6514161220043573,22.99709661655216
South,region,140838,443,765,432,333,0.9751693002257337,0.5647058823529412,23.718793404323517
West,region,55249,234,356,223,133,0.9529914529914529,0.6264044943820225,24.175224938653095
F,gender,203467,695,1209,668,541,0.9611510791366906,0.5525227460711332,26.680212258102696
M,gender,167232,663,1023,655,368,0.9879336349924586,0.6402737047898338,22.092946466629446
