split,operating_point,threshold,alerts,alerts_per_day,TP,FP,FN,precision,recall,fraud_caught_usd,fraud_missed_usd,review_cost_all_alerts_usd,total_cost_usd,review_cost_fp_only_usd,total_cost_fp_only_usd
validation,Capacity-constrained (fill 100/day),0.0002,13997,99.9786,1904,12093,3,0.136,0.9984,990958.74,33.53,69985.0,70018.53,60465.0,60498.53
validation,Cost-minimising,0.0084,2969,21.2071,1871,1098,36,0.6302,0.9811,985998.47,4993.8,14845.0,19838.8,5490.0,10483.8
validation,,0.01,2865,20.4643,1867,998,40,0.6517,0.979,984366.81,6625.46,14325.0,20950.46,4990.0,11615.46
validation,,0.02,2507,17.9071,1853,654,54,0.7391,0.9717,979716.13,11276.14,12535.0,23811.14,3270.0,14546.14
validation,,0.03,2334,16.6714,1842,492,65,0.7892,0.9659,977643.34,13348.93,11670.0,25018.93,2460.0,15808.93
validation,,0.05,2177,15.55,1832,345,75,0.8415,0.9607,973102.48,17889.79,10885.0,28774.79,1725.0,19614.79
validation,,0.075,2097,14.9786,1823,274,84,0.8693,0.956,967429.25,23563.02,10485.0,34048.02,1370.0,24933.02
validation,,0.1,2026,14.4714,1809,217,98,0.8929,0.9486,965599.48,25392.79,10130.0,35522.79,1085.0,26477.79
validation,,0.15,1929,13.7786,1788,141,119,0.9269,0.9376,959512.61,31479.66,9645.0,41124.66,705.0,32184.66
validation,,0.2,1878,13.4143,1766,112,141,0.9404,0.9261,952481.03,38511.24,9390.0,47901.24,560.0,39071.24
validation,,0.3,1804,12.8857,1734,70,173,0.9612,0.9093,940495.87,50496.4,9020.0,59516.4,350.0,50846.4
validation,,0.4,1759,12.5643,1709,50,198,0.9716,0.8962,927637.16,63355.11,8795.0,72150.11,250.0,63605.11
validation,,0.5,1718,12.2714,1681,37,226,0.9785,0.8815,914718.01,76274.26,8590.0,84864.26,185.0,76459.26
validation,,0.6,1680,12.0,1648,32,259,0.981,0.8642,899259.48,91732.79,8400.0,100132.79,160.0,91892.79
validation,,0.7,1651,11.7929,1623,28,284,0.983,0.8511,882056.32,108935.95,8255.0,117190.95,140.0,109075.95
validation,,0.8,1591,11.3643,1577,14,330,0.9912,0.827,862258.94,128733.33,7955.0,136688.33,70.0,128803.33
validation,Recall target (80%),0.8889,1540,11.0,1528,12,379,0.9922,0.8013,840603.04,150389.23,7700.0,158089.23,60.0,150449.23
validation,,0.9,1526,10.9,1515,11,392,0.9928,0.7944,833748.72,157243.55,7630.0,164873.55,55.0,157298.55
validation,,0.95,1448,10.3429,1442,6,465,0.9959,0.7562,799869.27,191123.0,7240.0,198363.0,30.0,191153.0
validation,,0.99,1214,8.6714,1214,0,693,1.0,0.6366,681492.79,309499.48,6070.0,315569.48,0.0,309499.48
test,Capacity-constrained (fill 100/day),0.0002,11421,88.5349,1350,10071,8,0.1182,0.9941,737825.29,229.77,57105.0,57334.77,50355.0,50584.77
test,Cost-minimising,0.0084,2232,17.3023,1323,909,35,0.5927,0.9742,727644.07,10410.99,11160.0,21570.99,4545.0,14955.99
test,,0.01,2132,16.5271,1320,812,38,0.6191,0.972,727498.27,10556.79,10660.0,21216.79,4060.0,14616.79
test,,0.02,1843,14.2868,1313,530,45,0.7124,0.9669,724240.52,13814.54,9215.0,23029.54,2650.0,16464.54
test,,0.03,1725,13.3721,1308,417,50,0.7583,0.9632,722090.14,15964.92,8625.0,24589.92,2085.0,18049.92
test,,0.05,1580,12.2481,1293,287,65,0.8184,0.9521,718392.33,19662.73,7900.0,27562.73,1435.0,21097.73
test,,0.075,1495,11.5891,1282,213,76,0.8575,0.944,712325.82,25729.24,7475.0,33204.24,1065.0,26794.24
test,,0.1,1435,11.124,1275,160,83,0.8885,0.9389,709647.22,28407.84,7175.0,35582.84,800.0,29207.84
test,,0.15,1369,10.6124,1257,112,101,0.9182,0.9256,705359.62,32695.44,6845.0,39540.44,560.0,33255.44
test,,0.2,1325,10.2713,1241,84,117,0.9366,0.9138,697782.55,40272.51,6625.0,46897.51,420.0,40692.51
test,,0.3,1269,9.8372,1218,51,140,0.9598,0.8969,688981.09,49073.97,6345.0,55418.97,255.0,49328.97
test,,0.4,1235,9.5736,1197,38,161,0.9692,0.8814,681128.66,56926.4,6175.0,63101.4,190.0,57116.4
test,,0.5,1201,9.3101,1171,30,187,0.975,0.8623,667931.69,70123.37,6005.0,76128.37,150.0,70273.37
test,,0.6,1177,9.124,1154,23,204,0.9805,0.8498,658688.3,79366.76,5885.0,85251.76,115.0,79481.76
test,,0.7,1143,8.8605,1128,15,230,0.9869,0.8306,649440.19,88614.87,5715.0,94329.87,75.0,88689.87
test,,0.8,1103,8.5504,1095,8,263,0.9927,0.8063,633574.0,104481.06,5515.0,109996.06,40.0,104521.06
test,Recall target (80%),0.8889,1071,8.3023,1067,4,291,0.9963,0.7857,616698.78,121356.28,5355.0,126711.28,20.0,121376.28
test,,0.9,1063,8.2403,1060,3,298,0.9972,0.7806,613049.89,125005.17,5315.0,130320.17,15.0,125020.17
test,,0.95,1017,7.8837,1015,2,343,0.998,0.7474,588543.04,149512.02,5085.0,154597.02,10.0,149522.02
test,,0.99,865,6.7054,865,0,493,1.0,0.637,509838.48,228216.58,4325.0,232541.58,0.0,228216.58
